"Destination","Source","Size","SHA256","SyncedAt"
"AGENTS.md","AGENTS.md","3749","E9D00AB3DFC5054BD2EDF434929AD1B681BF72DB81A1B1ABCB149473AFA8EEE2","2026-06-20 01:01:30 +03:30"
"governance/20-EXPLORIA_AI_Development_Framework_Laravel_React_Monolith_v1.0.md","نسخ های اصلی تکمیلی/0000-ROOLS/20-EXPLORIA_AI_Development_Framework_Laravel_React_Monolith_v1.0.md","29525","04DD2A49A419312D2C4EDEE9EBDBA988C9467CCA510583B2BF53EB16B6184079","2026-06-20 01:01:30 +03:30"
"governance/21-EXPLORIA_PreCoding_Master_Execution_Control_v1.0.md","نسخ های اصلی تکمیلی/0000-ROOLS/21-EXPLORIA_PreCoding_Master_Execution_Control_v1.0.md","6024","84E5F3C6BF27DB15DA7DEC51D4A5D90EBD72301372BF45ED0FC18B39C4F0FC69","2026-06-20 01:01:30 +03:30"
"governance/22-EXPLORIA_Open_Decisions_Lock_Register_v1.0.md","نسخ های اصلی تکمیلی/0000-ROOLS/22-EXPLORIA_Open_Decisions_Lock_Register_v1.0.md","4892","C4C540EECF17707F4260E1B85E124BAE0FA853BF2BEFE852390D9F2E9F88ED14","2026-06-20 01:01:30 +03:30"
"governance/23-EXPLORIA_Sprint_1A_Scope_Acceptance_Lock_v1.0.md","نسخ های اصلی تکمیلی/0000-ROOLS/23-EXPLORIA_Sprint_1A_Scope_Acceptance_Lock_v1.0.md","5486","472E297C696BD9DC9A903D3694F80DFDFB829E8D6E6C3C97A15BD58EFB3BF5E7","2026-06-20 01:01:30 +03:30"
"governance/24-EXPLORIA_Toolchain_Readiness_v1.0.md","نسخ های اصلی تکمیلی/0000-ROOLS/24-EXPLORIA_Toolchain_Readiness_v1.0.md","1673","27CA96EEF5B4CE5FE1FF87DB23EEF3B771854283C3C72AEC1A8D5F5F1231D205","2026-06-20 01:01:31 +03:30"
"governance/Exploria_26_Control_Items_Lock_Register_v1.0.md","نسخ های اصلی تکمیلی/BRD v1.1 UP/Exploria_26_Control_Items_Lock_Register_v1.0.md","9893","93DA6194DEFEB10E6F13D0881CD9CF7D8621071DA8DFDBFC82E869EFD45D76D8","2026-06-20 01:01:31 +03:30"
"governance/Exploria_BRD_v1.1_Final_Acceptance_Checklist_v1.0.md","نسخ های اصلی تکمیلی/01 chek list/Exploria_BRD_v1.1_Final_Acceptance_Checklist_v1.0.md","25510","1F3BC2F89566EBF2B50A36DE2E30598A7319E329B1ABE1B091BA16F04640AD57","2026-06-20 01:01:31 +03:30"
"governance/EXPLORIA_MVP_Documentation_Pack_v1.0.zip","نسخ های اصلی تکمیلی/0000-MVP/EXPLORIA_MVP_Documentation_Pack_v1.0.zip","468775","F0BDACFA19BA889A52A807B10E52C513710A066C3F2C867A66F3DB72C8A9A568","2026-06-20 01:01:31 +03:30"
"product/Exploria_BRD_v1.1_Pilot_Revenue_Update.md","نسخ های اصلی تکمیلی/02  Brd-pilot revenue/Exploria_BRD_v1.1_Pilot_Revenue_Update.md","34217","82B09A50047D7F50A0345064CBDFC19275DDD9E280F65F0DB3A44A9035DDE631","2026-06-20 01:01:31 +03:30"
"product/Exploria_FRD_v1.1_Pilot_Operations_Update.md","نسخ های اصلی تکمیلی/03 FRD-Pilot operation/Exploria_FRD_v1.1_Pilot_Operations_Update.md","63114","E5CF74A88B86E091C8CE967CE2DEE4B165B2A7F9DBC56A3CC841D38E3CA2212E","2026-06-20 01:01:31 +03:30"
"product/Exploria_Product_Backlog_v1.0.md","نسخ های اصلی تکمیلی/04 product  backlog/Exploria_Product_Backlog_v1.0.md","4098","E69E230362D19CF67EACAECBFA48F561B061804591B5E384CAD90B2C4AEF78CD","2026-06-20 01:01:31 +03:30"
"product/Exploria_Product_Backlog_v1.0.xlsx","نسخ های اصلی تکمیلی/04 product  backlog/Exploria_Product_Backlog_v1.0.xlsx","40210","0B0C1B0563EAEE4496128ED1A23C811F2AFEE819FDFB0C4592A7EB2AF7EDD973","2026-06-20 01:01:31 +03:30"
"product/Exploria_Sprint_0_1_Execution_Plan_v1.0.md","نسخ های اصلی تکمیلی/05 sprint_0_1 execation plan/Exploria_Sprint_0_1_Execution_Plan_v1.0 (1).md","14738","6FAB47A2B08EBF9F8A2690647D28344863B4F033C76BBD6B467A7B9696EADB5C","2026-06-20 01:01:31 +03:30"
"product/Exploria_Sprint_0_1_Execution_Plan_v1.0.xlsx","نسخ های اصلی تکمیلی/05 sprint_0_1 execation plan/Exploria_Sprint_0_1_Execution_Plan_v1.0 (1).xlsx","22817","731DA856C27F4C497E2AE4021A6B5DFCF06574EB127644732EE5F76588DF83AF","2026-06-20 01:01:32 +03:30"
"technical/Exploria_Technical_Design_Pack_v1.0.md","نسخ های اصلی تکمیلی/06 technical design/Exploria_Technical_Design_Pack_v1.0.md","16482","F7D115A797C02960D1A404998244AB16E10CDED5EC847D03E4FA958830255015","2026-06-20 01:01:32 +03:30"
"technical/Exploria_Technical_Design_Pack_v1.0.sql","نسخ های اصلی تکمیلی/06 technical design/Exploria_Technical_Design_Pack_v1.0.sql","9885","1B65A1B30E01DF25BF716326C40A2F9DF20E0679C479854B5786EE07C2A5113B","2026-06-20 01:01:32 +03:30"
"technical/Exploria_OpenAPI_Sprint1_v1.0_ORIGINAL.yaml","نسخ های اصلی تکمیلی/06 technical design/Exploria_OpenAPI_Sprint1_v1.0.yaml","12091","4BF6E64F197888952768E5E7B41D651B5B99022B1FA6BCA19B72E9B7EBB5FCAA","2026-06-20 01:01:32 +03:30"
"technical/Exploria_OpenAPI_Sprint1_v1.0_CANONICAL.yaml","نسخ های اصلی تکمیلی/11-2 Integration patch/Exploria_OpenAPI_Sprint1_v1.0_PATCHED.yaml","15340","3D26B7255287E28F95ECEAC0E737BBFA416994FB601BD168688E36E181D5F90A","2026-06-20 01:01:32 +03:30"
"technical/Exploria_Sprint1_UI_Flows_v1.0.mmd","نسخ های اصلی تکمیلی/06 technical design/Exploria_Sprint1_UI_Flows_v1.0.mmd","509","0EA7A2B7169591B2591F6057BFFADCF02C72A90B41AE26C016454231CC6F64EC","2026-06-20 01:01:32 +03:30"
"technical/Exploria_UI_UX_Wireframe_Pack_v1.0.md","نسخ های اصلی تکمیلی/07 UI-UX Wireframe/Exploria_UI_UX_Wireframe_Pack_v1.0.md","9680","9FB826962395FBFC06CFA18282FCD6448A1C67BF3F87178410C6B2645C7BE21A","2026-06-20 01:01:32 +03:30"
"technical/Exploria_UI_UX_Wireframe_Pack_v1.0.html","نسخ های اصلی تکمیلی/07 UI-UX Wireframe/Exploria_UI_UX_Wireframe_Pack_v1.0.html","5790","0FD9BC9AD145DD69BC0E479DB508E167B02301AADB1F9272356EEAC6DA2518C2","2026-06-20 01:01:32 +03:30"
"quality/Exploria_Integration_QA_Report_v1.0.md","نسخ های اصلی تکمیلی/11 Integration QA Report v1.0/Exploria_Integration_QA_Report_v1.0.md","4328","9DFAD59A4C0F237C13FB2AF95C89F26FE848214276CED0F40FA718E3FDE14FBE","2026-06-20 01:01:32 +03:30"
"quality/Exploria_Integration_Patch_v1.0.md","نسخ های اصلی تکمیلی/11-2 Integration patch/Exploria_Integration_Patch_v1.0.md","3106","AD0C4D7DC187288EEAC0F21E73BC067D6781C9BDA1DE890891083748659865ED","2026-06-20 01:01:32 +03:30"
"quality/Exploria_Integration_Patch_v1.0_Execution_Control_Document.docx","نسخ های اصلی تکمیلی/15/Exploria_Integration_Patch_v1.0_Execution_Control_Document.docx","46590","5EF48CC630AC4A1CE197EFF60A3AB9AF53ABFF9EC7D54DEEC62B453FA5392C4C","2026-06-20 01:01:33 +03:30"
"quality/Exploria_Local_Runtime_Smoke_Test_Result_v1.0.docx","نسخ های اصلی تکمیلی/16/15-Exploria_Local_Runtime_Smoke_Test_Result_v1.0.docx","46307","EEBB9F5BB36B3A79F98E915E734D897B7018BE87A3BEA2D39E36918A35ECDFF3","2026-06-20 01:01:33 +03:30"
